X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	Y
Design 1	0.277620397	0.051835158	0.082294264	0.061840088	0.151515152	0.42903752	0.457627119	0.85915493	0.761904762	0.333333333	0	0	0.093559273	0.061820707	0.061339084	0.000623187	0.808047666	7.86063E-06	0.014226222	0.325320045	0.209819077	0.058777935	0.542372881	0.392677134	0.607322866	0.051835158	0.046925095	0.051835158	0.173843954	0.457627119	0.08113481	0.281695698	0.001542808	0.000560628	0.000672352	0.045004429	0.197313863	0.42903752	0.04815864	0.06450955	0.0143552	0.083634385	0.000302375	0.004335126	0.179463603	0.07775599	0.00449255	0.04021156	0.01778402	0.003331701	0.003302274	0.020250445	0.000345267	0.000309809	8.26885E-07	0.009068229	0.031211797	0.046393794	0.001378959	0.154974083	0.03340576	0.01977954	0.031149469	0.360237152	0.04510638	0.001817658	0.000302453	0.148235903	0.114645318	0.345270716	0.000112355	0.015819963	0.001323344	0.000915099	0.053977856	0.032390905	0.140600613	0.042499205
Design 1	0.320113314	0.051835158	0.082294264	0.061840088	0.151515152	0.42903752	0.457627119	0.85915493	0.761904762	0.333333333	0	0	0.093559273	0.061820707	0.061339084	0.000623187	0.808047666	1.02784E-05	0.014226222	0.374976834	0.257010921	0.076828902	0.542372881	0.392677134	0.607322866	0.051835158	0.046925095	0.051835158	0.173843954	0.457627119	0.08113481	0.324589951	0.002303059	0.000560628	0.000672352	0.067184195	0.197313863	0.42903752	0.039660057	0.053586817	0.012909363	0.083634385	0.000302375	0.004954764	0.234669621	0.101970017	0.005943325	0.046182326	0.020408026	0.003331701	0.003302274	0.02315426	0.000345267	0.000309809	8.26885E-07	0.009068229	0.031211797	0.046393794	0.001583102	0.154974083	0.03340576	0.01977954	0.031149469	0.360237152	0.067337483	0.002720736	0.000453239	0.17269602	0.135770216	0.400865391	0.000167971	0.020970171	0.001524809	0.001127317	0.063968069	0.0371364	0.16676575	0.033287146
Design 1	0.150141643	0.195106246	0.158603491	0.006378821	0.142424242	0.388254486	0.220338983	0.85915493	0.761904762	0.333333333	0	0	0.009745275	0.006492444	0.006465363	4.91824E-05	0.831579291	1.95037E-05	0.003165424	0.404484614	0.207445509	0.095668548	0.779661017	0.100461851	0.899538149	0.195106246	0.176624891	0.195106246	0.173843954	0.220338983	0.175651466	0.403346611	0.021312103	0.007574487	0.011094061	0.041804965	0.071837533	0.390586114	0.099150141	0.057147657	0.006857573	0.062555743	0.000263393	0.004071869	0.143926614	0.507101737	0.04024511	0.149976144	0.054420243	0.003018894	0.003506007	0.05035933	0.0003671	0.000237061	6.32718E-07	0.000766227	0.017063256	0.070902167	0.003064644	0.06319796	0.015546399	0.012735799	0.017000018	0.646006604	0.050893405	0.050714789	0.011062652	0.219948974	0.470122802	0.487113415	0.003162371	0.125462598	0.004929924	0.004581278	0.188457081	0.092539194	0.499264839	0.014389765
Design 1	0.150141643	0.195106246	0.158603491	0.068433386	0.142424242	0.388254486	0.220338983	0.85915493	0.761904762	0.333333333	0	0	0.053006106	0.068528338	0.068203171	4.91824E-05	0.250402865	3.24708E-06	0.003165424	0.404484614	0.21879283	0.106285528	0.779661017	0.223743584	0.776256416	0.195106246	0.176624891	0.195106246	0.173843954	0.220338983	0.175651466	0.403346611	0.023672618	0.008420431	0.011094061	0.046436469	0.071837533	0.390586114	0.099150141	0.057147657	0.006857573	0.062555743	0.00233988	0.009504153	0.143926614	0.055902711	0.004312324	0.149976144	0.060512428	0.01436977	0.020137108	0.05035933	0.000136008	5.62273E-05	1.50071E-07	0.003568867	0.098029029	0.105750079	0.000546523	0.231440814	0.074296481	0.066679236	0.097971	0.746547102	0.050893405	0.001314315	0.000377481	0.100355859	0.135507811	0.352818997	6.76868E-05	0.013234844	0.000870333	0.00067593	0.052635262	0.022512943	0.139249448	0.088276323
Design 1	0.150141643	0.195106246	0.158603491	0.130487951	0.142424242	0.388254486	0.220338983	0.85915493	0.761904762	0.333333333	0	0	0.096266938	0.130564232	0.129940979	4.91824E-05	0.137512184	1.55457E-06	0.003165424	0.404484614	0.229587158	0.116902508	0.779661017	0.324668706	0.675331294	0.195106246	0.176624891	0.195106246	0.173843954	0.220338983	0.175651466	0.403346611	0.026033133	0.009266376	0.011094061	0.051067972	0.071837533	0.390586114	0.099150141	0.057147657	0.006857573	0.062555743	0.004416368	0.014936436	0.143926614	0.028987224	0.002168816	0.149976144	0.066604613	0.022620751	0.031967579	0.05035933	0.00010047	3.94924E-05	1.05406E-07	0.005562515	0.155623724	0.117376207	0.000322169	0.326096197	0.11700207	0.106896827	0.1555694	0.767180866	0.050893405	0.000449938	0.000140756	0.062930471	0.086321602	0.320564833	2.20271E-05	0.006540095	0.000493617	0.000366825	0.033971668	0.014020072	0.089778891	0.338882031
Design 1	0.150141643	0.195106246	0.158603491	0.192542515	0.142424242	0.388254486	0.220338983	0.85915493	0.761904762	0.333333333	0	0	0.139527769	0.192600126	0.191678787	4.91824E-05	0.09413223	9.52288E-07	0.003165424	0.404484614	0.239902233	0.127519487	0.779661017	0.408813054	0.591186946	0.195106246	0.176624891	0.195106246	0.173843954	0.220338983	0.175651466	0.403346611	0.028393649	0.010112321	0.011094061	0.055699476	0.071837533	0.390586114	0.099150141	0.057147657	0.006857573	0.062555743	0.006492855	0.02036872	0.143926614	0.019287319	0.001396331	0.149976144	0.072696798	0.029789289	0.041961237	0.05035933	8.31788E-05	3.21679E-05	8.58564E-08	0.007246626	0.204276198	0.125158132	0.000230653	0.400018795	0.154105129	0.141762821	0.204225005	0.775209033	0.050893405	0.00023174	7.6831E-05	0.044051701	0.063314965	0.302288336	1.10454E-05	0.004127415	0.000341305	0.000245302	0.025221633	0.010197145	0.066585657	0.512114094
Design 1	0.150141643	0.195106246	0.158603491	0.234817187	0.142424242	0.388254486	0.220338983	0.85915493	0.761904762	0.333333333	0	0	0.168999211	0.234862079	0.233737669	4.91824E-05	0.077368571	7.32281E-07	0.003165424	0.404484614	0.246685439	0.134752305	0.779661017	0.458553737	0.541446263	0.195106246	0.176624891	0.195106246	0.173843954	0.220338983	0.175651466	0.403346611	0.03000175	0.010688621	0.011094061	0.058854688	0.071837533	0.390586114	0.099150141	0.057147657	0.006857573	0.062555743	0.007907462	0.024069463	0.143926614	0.015596653	0.001102412	0.149976144	0.076847099	0.034292978	0.048119127	0.05035933	7.53793E-05	2.90202E-05	7.74553E-08	0.008284342	0.23425487	0.129387207	0.000193139	0.44370325	0.177415409	0.16363824	0.234205605	0.77832633	0.050893405	0.00016358	5.60895E-05	0.035671578	0.053224085	0.293298014	7.70717E-06	0.003209428	0.0002797	0.000196731	0.021357297	0.008547355	0.056342675	0.546478234
Design 1	0.073654391	0.356084997	0.197007481	0.079680776	0	0.143556281	0.288135593	0.85915493	0.761904762	0.333333333	0	0	0.060495638	0.081594648	0.085291952	3.38692E-05	0.057957625	9.77536E-07	0.004891294	0.340065594	0.180852505	0.090823735	0.711864407	0.316635128	0.683364872	0.356084997	0.322354999	0.356084997	0.173843954	0.288135593	0.138249677	0.368187388	0.051524435	0.039891129	0.051648433	0.021825227	0.101351761	0.171460462	0.196497553	0.051363652	0.005080178	0.045827113	0.010550873	0.012781843	0.072128623	0.021826978	0.002251168	0.320881749	0.138193679	0.042137804	0.056388861	0.071586	6.50913E-05	2.7901E-05	7.4468E-08	0.005610186	0.160094653	0.105271671	0.000277582	0.291807321	0.127114986	0.111325867	0.160040617	0.719327516	0.02351324	0.000247726	0.000119567	0.047591145	0.088621714	0.25840138	1.12717E-05	0.005803499	0.000404473	0.000325378	0.034815603	0.011865648	0.07448925	0.489208643
Design 1	0.073654391	0.356084997	0.197007481	0.079680776	0	0.256117455	0.288135593	0.85915493	0.761904762	0.333333333	0	0	0.060495638	0.081594648	0.085291952	3.38692E-05	0.085191504	1.15965E-06	0.004891294	0.340065594	0.163981193	0.090823735	0.711864407	0.316635128	0.683364872	0.356084997	0.322354999	0.356084997	0.173843954	0.288135593	0.138249677	0.368187388	0.051524435	0.039891129	0.051648433	0.021825227	0.101351761	0.289945909	0.196497553	0.067126257	0.005996197	0.045827113	0.007178959	0.010542988	0.072128623	0.021826978	0.002251168	0.264409356	0.113889969	0.032005309	0.043234114	0.059036009	7.91216E-05	3.39368E-05	9.05778E-08	0.005275599	0.148806873	0.108492195	0.000307776	0.291807321	0.117041029	0.101928302	0.148752111	0.71308796	0.02351324	0.000262254	0.000120264	0.050361684	0.086298213	0.25840138	1.23585E-05	0.005803499	0.000446737	0.000342393	0.034815603	0.012751536	0.07448925	0.456551996
Design 1	0.073654391	0.356084997	0.197007481	0.079680776	0	0.36867863	0.288135593	0.85915493	0.761904762	0.333333333	0	0	0.060495638	0.081594648	0.085291952	3.38692E-05	0.117237639	1.33723E-06	0.004891294	0.340065594	0.151038485	0.090823735	0.711864407	0.316635128	0.683364872	0.356084997	0.322354999	0.356084997	0.173843954	0.288135593	0.138249677	0.368187388	0.051524435	0.039891129	0.051648433	0.021825227	0.101351761	0.408431356	0.196497553	0.082209787	0.006872753	0.045827113	0.005198649	0.008971438	0.072128623	0.021826978	0.002251168	0.224768907	0.09683013	0.025415447	0.034458546	0.050226621	9.28033E-05	4.01463E-05	1.07151E-07	0.005004863	0.139372945	0.111324086	0.000335954	0.291807321	0.109214327	0.094484188	0.139317575	0.70579083	0.02351324	0.000275602	0.00012109	0.052767579	0.08438481	0.25840138	1.33727E-05	0.005803499	0.000484951	0.000357211	0.034815603	0.01352958	0.07448925	0.432227013
Design 1	0.073654391	0.356084997	0.197007481	0.079680776	0	0.481239804	0.288135593	0.85915493	0.761904762	0.333333333	0	0	0.060495638	0.081594648	0.085291952	3.38692E-05	0.153692526	1.51106E-06	0.004891294	0.340065594	0.140703613	0.090823735	0.711864407	0.316635128	0.683364872	0.356084997	0.322354999	0.356084997	0.173843954	0.288135593	0.138249677	0.368187388	0.051524435	0.039891129	0.051648433	0.021825227	0.101351761	0.526916803	0.196497553	0.096739412	0.007717119	0.045827113	0.003937564	0.007807545	0.072128623	0.021826978	0.002251168	0.195411131	0.084195587	0.020840482	0.028249921	0.043702375	0.000106196	4.65659E-05	1.24285E-07	0.004780642	0.131289489	0.113843606	0.00036274	0.291807321	0.102897128	0.088350233	0.1312336	0.697548511	0.02351324	0.000288163	0.000122035	0.054901742	0.082762257	0.25840138	1.43367E-05	0.005803499	0.000520032	0.000370388	0.034815603	0.014226406	0.07448925	0.409288681
Design 1	0.073654391	0.356084997	0.197007481	0.079680776	0	0.593800979	0.288135593	0.85915493	0.761904762	0.333333333	0	0	0.060495638	0.081594648	0.085291952	3.38692E-05	0.19397399	1.68169E-06	0.004891294	0.340065594	0.13220408	0.090823735	0.711864407	0.316635128	0.683364872	0.356084997	0.322354999	0.356084997	0.173843954	0.288135593	0.138249677	0.368187388	0.051524435	0.039891129	0.051648433	0.021825227	0.101351761	0.64540225	0.196497553	0.110804025	0.008534462	0.045827113	0.003085319	0.006910902	0.072128623	0.021826978	0.002251168	0.172794408	0.074462154	0.01750826	0.023663296	0.038676208	0.000119342	5.32201E-05	1.42045E-07	0.004591936	0.124237179	0.116100836	0.000388535	0.291807321	0.097653088	0.083151478	0.124180836	0.688513151	0.02351324	0.000300177	0.000123088	0.056824777	0.081356318	0.25840138	1.52651E-05	0.005803499	0.000552597	0.000382287	0.034815603	0.014859557	0.07448925	0.38748514
Design 1	0.036260623	0.517063748	0.241895262	0.042060196	0.606060606	0.445350734	0.016944068	0.85915493	0.761904762	0.333333333	0	0	0.067100078	0.036230901	0.0310813	2.04416E-06	0.142291746	1.49035E-06	0.000166585	0.267110205	0.093215824	0.064990716	0.983055932	0.013100545	0.986899455	0.517063748	0.468085106	0.517063748	0.173843954	0.016944068	0.673718428	0.306307154	0.060751682	0.11121223	0.141861219	0.00937175	0.004469978	0.336832399	0.340715941	0.10271971	0.00646601	0.039728991	0.004263847	0.004985206	0.035918302	0.029843974	0.003613014	0.290951355	0.104973961	0.022059933	0.035076306	0.054006982	0.000102194	2.96031E-05	7.90111E-08	0.000245633	0.105855849	0.269913929	0.000350364	0.190131505	0.070702779	0.076502076	0.105798324	0.979898167	0.009946751	0.003575706	0.001720389	0.056417008	0.172138547	0.215301039	0.00017409	0.008881609	0.000951582	0.000522959	0.047155902	0.017921262	0.152361086	0.121750595
Design 1	0.036260623	0.517063748	0.241895262	0.042060196	0.606060606	0.445350734	0.06779661	0.85915493	0.761904762	0.333333333	0	0	0.072720685	0.036230901	0.0310813	5.15986E-06	0.142291746	1.49035E-06	0.000723654	0.267110205	0.093817466	0.06580856	0.93220339	0.049313805	0.950686195	0.517063748	0.468085106	0.517063748	0.173843954	0.06779661	0.3820292	0.306307154	0.061513973	0.112608473	0.141861219	0.009489485	0.018818576	0.336832399	0.340715941	0.10271971	0.00646601	0.039728991	0.004263847	0.004985206	0.035918302	0.029843974	0.003613014	0.290951355	0.106298463	0.022059933	0.034084203	0.054006982	0.000102194	3.19677E-05	8.53221E-08	0.000836837	0.102861617	0.171776313	0.000367299	0.190131505	0.070702779	0.073396003	0.102803899	0.924343046	0.009946751	0.001481678	0.000715065	0.056417008	0.148711378	0.215301039	7.22668E-05	0.008881609	0.00083644	0.000522959	0.047155902	0.017921262	0.126705169	0.114601176
